1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
දිලීර ආසාදනය,කැසීම,සමේ වෙනස් වීම්,සමේ ගැටිති,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,
දිලීර ආසාදනය,සමේ වෙනස් වීම්,සමේ ගැටිති,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ ගැටිති,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ වෙනස් වීම්,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ වෙනස් වීම්,සමේ ගැටිති,,,,,,,,,,,,,,
දිලීර ආසාදනය,සමේ වෙනස් වීම්,සමේ ගැටිති,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ ගැටිති,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ වෙනස් වීම්,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ වෙනස් වීම්,සමේ ගැටිති,,,,,,,,,,,,,,
දිලීර ආසාදනය,කැසීම,සමේ වෙනස් වීම්,සමේ ගැටිති,සමේ අවපැහැ ගැන්වීම,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,වෙව්ලීම,සිතල,කදුළු ගැලීම,,,,,,,,,,,,,
අසාත්මිකතා,වෙව්ලීම,සිතල,කදුළු ගැලීම,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,සිතල,කදුළු ගැලීම,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,වෙව්ලීම,කදුළු ගැලීම,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,වෙව්ලීම,සිතල,,,,,,,,,,,,,,
අසාත්මිකතා,වෙව්ලීම,සිතල,කදුළු ගැලීම,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,සිතල,කදුළු ගැලීම,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,වෙව්ලීම,කදුළු ගැලීම,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,වෙව්ලීම,සිතල,,,,,,,,,,,,,,
අසාත්මිකතා,කිවිසුම් යාම,වෙව්ලීම,සිතල,කදුළු ගැලීම,,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,දිව වණ වීම ,වමනය,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,දිව වණ වීම ,වමනය,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,වමනය,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,දිව වණ වීම ,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,දිව වණ වීම ,වමනය,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,දිව වණ වීම ,වමනය,කැස්ස,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,ආම්ලිකතාවය,දිව වණ වීම ,වමනය,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,දිව වණ වීම ,වමනය,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,වමනය,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
ගැස්ට්‍රයිටිස්,බඩේ අමාරුව,ආම්ලිකතාවය,දිව වණ වීම ,කැස්ස,පපුවේ වේදනාව,,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,වමනය,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ඔක්කාරය,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,ඇස් කහ වීම,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,
නිදන්ගත කොලෙස්ටැසිස්,කැසීම,වමනය,කහ පැහැති සම,ඔක්කාරය,ආහාර රුචිය නැති වීම,උදරයේ වේදනාව,ඇස් කහ වීම,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,බඩේ අමාරුව,මුත්‍රා දැවිල්ල ,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,බඩේ අමාරුව,මුත්‍රා දැවිල්ල ,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,මුත්‍රා දැවිල්ල ,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,බඩේ අමාරුව,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,බඩේ අමාරුව,මුත්‍රා දැවිල්ල ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,සමේ වෙනස් වීම්,බඩේ අමාරුව,මුත්‍රා දැවිල්ල ,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,බඩේ අමාරුව,මුත්‍රා දැවිල්ල ,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
ඖෂධ ප්රතික්රියාව,කැසීම,සමේ වෙනස් වීම්,මුත්‍රා දැවිල්ල ,ලේ සමග මුත්‍රා යාම ,,,,,,,,,,,,,
