ඖෂධ ප්‍රතික්‍රියාව, අහිතකර ඖෂධ ප්‍රතික්‍රියාවක් (ADR) යනු ඖෂධ ගැනීමෙන් ඇතිවන තුවාලයකි. ADRs තනි මාත්‍රාවකින් හෝ ඖෂධයක් දිගු කලක් පරිපාලනය කිරීමෙන් හෝ ඖෂධ දෙකක් හෝ වැඩි ගණනක එකතුවකින් ඇති විය හැක.
මැලේරියාව,ඇනොෆිලිස් මදුරුවා දෂ්ට කිරීමෙන් හෝ දූෂිත ඉඳිකටුවක් හෝ පාරවිලයනය මගින් සම්ප්‍රේෂණය කළ හැකි ප්ලාස්මෝඩියම් පවුලේ ප්‍රොටෝසෝවා පරපෝෂිතයන් විසින් ඇති කරන බෝවන රෝගයකි. Falciparum මැලේරියාව වඩාත් මාරාන්තික වර්ගයකි.
අසාත්මිකතා,"ආසාත්මිකතාවයක් යනු ඔබේ ශරීරයට සාමාන්‍යයෙන් හානිකර නොවන විදේශීය ද්‍රව්‍යයකට ප්‍රතිශක්තිකරණ පද්ධතියේ ප්‍රතිචාරයකි. ඒවාට ඇතැම් ආහාර, පරාග හෝ සුරතල් සතුන් ඇතුළත් විය හැක. ඔබේ ප්‍රතිශක්තිකරණ පද්ධතියේ කාර්යය වන්නේ හානිකර රෝග කාරක සමඟ සටන් කිරීමෙන් ඔබව නිරෝගීව තබා ගැනීමයි."
හයිපෝතිරයිඩ්වාදය,"තයිරොයිඩ් ග්‍රන්ථිය ප්‍රමාණවත් තරම් තයිරොයිඩ් හෝමෝන නිපදවන්නේ නැති අන්තරාසර්ග පද්ධතියේ ආබාධයක් වන හයිපෝතයිරොයිඩ්වාදය, අඩු ක්‍රියාකාරී තයිරොයිඩ් හෝ අඩු තයිරොයිඩ් ලෙසද හැඳින්වේ."
සමේ රෝග,"Psoriasis යනු රිදී පැහැති කොරපොතු වලින් ආවරණය වූ ඝන, රතු, ගැටිති සහිත පැල්ලම් සාදයි. ඒවා ඕනෑම තැනක උත්පතන විය හැකි නමුත් බොහෝ විට හිස්කබල, වැලමිට, දණහිස සහ පහළ පිටුපස දිස් වේ. Psoriasis පුද්ගලයාගෙන් පුද්ගලයාට බෝ විය නොහැක. එය සමහර විට එකම පවුලේ සාමාජිකයන් තුළ සිදු වේ."
GERD,"Gastroesophageal reflux රෝගය නොහොත් GERD යනු ආහාර ජීර්ණ ආබාධයක් වන අතර එය esophageal sphincter (LES), esophagus සහ ආමාශය අතර මාංශ පේශි වල වළල්ලට බලපායි. ගර්භනී කාන්තාවන් ඇතුළු බොහෝ අය GERD නිසා ඇතිවන අජීර්ණ හෝ අම්ල අජීර්ණයෙන් පීඩා විඳිති."
නිදන්ගත කොලෙස්ටැසිස්,"ළදරු අවධියේදී, ළමා වියේදී හෝ වැඩිහිටි වියේදී ඇතිවන නිදන්ගත කොලෙස්ටැටික් රෝග, අක්මාවේ සිට අන්ත්‍රය දක්වා දෝෂ සහිත බයිල් අම්ල ප්‍රවාහනය මගින් සංලක්ෂිත වේ, එය බොහෝ අවස්ථාවන්හීදී biliary epithelium වලට ප්‍රාථමික හානි හේතුවෙන් ඇතිවේ."
හෙපටයිටිස් ඒ,හෙපටයිටිස් A යනු හෙපටයිටිස් A වෛරසය නිසා ඇතිවන අධික ලෙස බෝවන අක්මා ආසාදනයකි. වෛරසය දැවිල්ල ඇති කරන සහ ඔබේ අක්මාවේ ක්‍රියාකාරීත්වයට බලපාන හෙපටයිටිස් වෛරස් වර්ග කිහිපයෙන් එකකි.
ඔස්ටියෝ ආතරයිටිස්,ඔස්ටියෝ ආතරයිටිස් යනු ලොව පුරා මිලියන සංඛ්‍යාත මිනිසුන්ට බලපාන ආතරයිටිස් වල වඩාත් සුලභ ආකාරයකි. එය සිදුවන්නේ ඔබේ අස්ථිවල කෙළවර කුෂන් කරන ආරක්ෂිත කාටිලේජ කාලයත් සමඟ ක්ෂය වූ විටය.
(vertigo) Paraymsal ස්ථානීය කරකැවිල්ල,Benign paroxysmal positional vertigo (BPPV) කරකැවිල්ලට වඩාත් පොදු හේතුවකි - ඔබ කැරකෙන බව හෝ ඔබේ හිස අභ්‍යන්තරය කැරකෙන බව හදිසියේම දැනීම. Benign paroxysmal ස්ථානීය කරකැවිල්ල මෘදු සිට දැඩි ක්ලාන්තය දක්වා කෙටි කථාංග ඇති කරයි.
