මත්ද්‍රව්‍ය ප්‍රතික්‍රියාව, කෝපය නැවැත්වීම, ළඟම ඇති රෝහලට උපදෙස් දෙන්න, ඖෂධ ගැනීම නවත්වන්න, පසු විපරම් කරන්න
මැලේරියාව,ළඟම ඇති රෝහලෙන් විමසන්න,තෙල් සහිත ආහාර වලින් වළකින්න,නිර්මාංශ නොවන ආහාර වලින් වළකින්න,මදුරුවන් වළක්වන්න
අසාත්මිකතා,කැලමයින් යොදන්න,වෙළුම් පටියක් සහිත ප්රදේශයක් ආවරණය කරන්න,,කැසීම සංකෝචනය කිරීමට අයිස් භාවිතා කරන්න
හයිපෝතිරයිඩ්වාදය,මානසික ආතතිය අඩු,ව්යායාම,සෞඛ්ය සම්පන්න කන්න,නිසි නින්දක් ලබා ගන්න
සමේ රෝග,උණුසුම් සබන් වතුරෙන් අත් සෝදන්න,පීඩනය භාවිතයෙන් ලේ ගැලීම නතර කරන්න,වෛද්යවරයෙකුගෙන් විමසන්න,ලුණු ස්නාන
ගැස්ට්‍රයිටිස්,මේද කුළුබඩු සහිත ආහාර වලින් වළකින්න,ආහාර ගැනීමෙන් පසු වැතිරීමෙන් වළකින්න,නිරෝගී බර පවත්වා ගන්න,ව්යායාම
නිදන්ගත කොලෙස්ටැසිස්,සීතල නාන,කැසීම විරෝධී ඖෂධ,වෛද්යවරයෙකුගෙන් විමසන්න,සෞඛ්ය සම්පන්න කන්න
හෙපටයිටිස් ඒ,ළඟම ඇති රෝහලෙන් විමසන්න,හරහා අත් සෝදන්න,මේද කුළුබඩු සහිත ආහාර වලින් වළකින්න,ඖෂධ
ඔස්ටියෝ ආතරයිටිස්,ඇසිටමිනොෆෙන්,ළඟම ඇති රෝහලට උපදෙස් දෙන්න,පසු විපරම,ලුණු ස්නාන
(vertigo) Paraymsal ස්ථානීය කරකැවිල්ල,බිම දිගාවෙන්න,ශරීරයේ හදිසි වෙනස්කම් වළක්වා ගන්න,හදිසි හිස චලනයෙන් වළකින්න,සන්සුන් වන්න
හයිපොග්ලිසිමියාව,පැත්තකට වැතිර සිටින්න,ස්පන්දනය පරීක්ෂා කරන්න,සීනි සහිත බීම බොන්න,වෛද්යවරයෙකුගෙන් විමසන්න
කුරුලෑ,දෙවරක් නාන,මේද කුළුබඩු සහිත ආහාර වලින් වළකින්න,ගොඩක් වතුර බොන්න,බොහෝ නිෂ්පාදන වළක්වා ගන්න
දියවැඩියාව,සමබර ආහාර වේලක් ඇත,ව්යායාම,වෛද්යවරයෙකුගෙන් විමසන්න,පසු විපරම
ඉම්පෙටිගෝ,බලපෑමට ලක් වූ ප්රදේශය උණුසුම් ජලයේ පොඟවා ගන්න,ප්රතිජීවක භාවිතා කරන්න,තෙත් සම්පීඩිත රෙද්දකින් කැළැල් ඉවත් කරන්න,වෛද්යවරයෙකුගෙන් විමසන්න
අධි රුධිර පීඩනය,භාවනාව,ලුණු ස්නාන,මානසික ආතතිය අඩු,නිසි නින්දක් ලබා ගන්න
පෙප්ටික් වණ රෝගය,මේද කුළුබඩු සහිත ආහාර වලින් වළකින්න,ප්‍රෝබියොටික් ආහාර පරිභෝජනය කරන්න,කිරි ඉවත් කරන්න,මත්පැන් සීමා කරන්න
ඩිමෝර්ෆික් අර්ශස් (පයිල්ස්),මේද කුළුබඩු සහිත ආහාර වලින් වළකින්න,witch hazel පරිභෝජනය කරන්න,එප්සම් ලුණු සමග උණුසුම් ස්නානය,කෝමාරිකා යුෂ පරිභෝජනය කරන්න
සෙම්ප්‍රතිශ්‍යාව,විටමින් සී බහුල බීම බොන්න,වාෂ්ප ගන්න,සීතල ආහාර වලින් වළකින්න,උණ පාලනය කර ගන්න
පැපොල,නෑමේදී නීම් භාවිතා කරන්න,නයිම් කොළ පරිභෝජනය කරන්න,එන්නත් ගන්න,පොදු ස්ථාන මගහරින්න
ගැබ්ගෙල ස්පොන්ඩිලෝසිස්,තාපන පෑඩ් හෝ සීතල ඇසුරුම භාවිතා කරන්න,ව්යායාම,Otc වේදනා නාශක ගන්න,වෛද්යවරයෙකුගෙන් විමසන්න
හයිපර් තයිරොයිඩ්වාදය,සෞඛ්ය සම්පන්න කන්න,සම්බාහනය,ලෙමන් බාම් භාවිතා කරන්න,විකිරණශීලී අයඩින් ප්‍රතිකාර ගන්න
මුත්රා ආසාදන,වතුර ගොඩක් බොන්න,විටමින් සී පරිභෝජනය වැඩි කරන්න,ක්රැන්බෙරි යුෂ බොන්න,probiotics ගන්න
වරිකොස් නහර,පැතලිව වැතිරී කකුල ඉහළට ඔසවන්න,ආලේපන භාවිතා කරන්න,නහර සම්පීඩනය භාවිතා කරන්න,දිගු වේලාවක් නිශ්චලව නොසිටින්න
ඒඩ්ස්,විවෘත කප්පාදුවලින් වළකින්න,හැකි නම් ppe අඳින්න,වෛද්යවරයෙකුගෙන් විමසන්න,පසු විපරම
අංශභාගය (මොළයේ රුධිර වහනය),සම්බාහනය,සෞඛ්ය සම්පන්න කන්න,ව්යායාම,වෛද්යවරයෙකුගෙන් විමසන්න
ටයිපොයිඩ්,අධික කැලරි සහිත එළවළු අනුභව කරන්න,ප්රතිජීවක චිකිත්සාව,වෛද්යවරයෙකුගෙන් විමසන්න,ඖෂධ
හෙපටයිටිස් බී,ළඟම ඇති රෝහලට උපදෙස් දෙන්න,එන්නත් කිරීම,සෞඛ්ය සම්පන්න කන්න,ඖෂධ
දිලීර ආසාදනය,දෙවරක් නාන,ස්නානය කරන ජලයේ දී ඩෙටෝල් හෝ නීම් භාවිතා කරන්න,ආසාදිත ප්රදේශය වියළිව තබා ගන්න,පිරිසිදු රෙදි භාවිතා කරන්න
හෙපටයිටිස් සී,ළඟම ඇති රෝහලෙන් විමසන්න,එන්නත් කිරීම,සෞඛ්ය සම්පන්න කන්න,ඖෂධ
ඉරුවාරදය,භාවනාව,මානසික ආතතිය අඩු,හිරු තුළ පොලෝරොයිඩ් වීදුරු භාවිතා කරන්න,වෛද්යවරයෙකුගෙන් විමසන්න
බ්රොන්පයිල් ඇදුම,ලිහිල් ඇඳුම් වලට මාරු වන්න,ගැඹුරු හුස්මක් ගන්න,ප්‍රේරකයෙන් ඉවත් වන්න,උදව් පතනවා
මත්පැන් හෙපටයිටිස්,මත්පැන් පානය නතර කරන්න,වෛද්යවරයෙකුගෙන් විමසන්න,ඖෂධ,පසු විපරම
සෙංගමාලය,වතුර ගොඩක් බොන්න,කිරි thistle පරිභෝජනය,පලතුරු සහ ඉහළ තන්තු සහිත ආහාර අනුභව කරන්න,ඖෂධ
හෙපටයිටිස් ඊ,මත්පැන් පානය නතර කරන්න,විවේකය,වෛද්යවරයෙකුගෙන් විමසන්න,ඖෂධ
ඩෙංගු,පැපොල් කොළ යුෂ පානය කරන්න,මේද කුළුබඩු සහිත ආහාර වලින් වළකින්න,මදුරුවන් ඈත් කරන්න,සජලනය තබා ගන්න
හෙපටයිටිස් ඩී,වෛද්යවරයෙකුගෙන් විමසන්න,ඖෂධ,සෞඛ්ය සම්පන්න කන්න,පසු විපරම
හෘදයාබාධය,ගිලන් රථය අමතන්න,ඇස්ප්‍රින් හපන්න හෝ ගිල දමන්න,සන්සුන් වන්න,
නියුමෝනියාව,වෛද්යවරයෙකුගෙන් විමසන්න,ඖෂධ,විවේකය,පසු විපරම
ආතරයිටිස්,ව්යායාම,උණුසුම් හා සීතල චිකිත්සාව භාවිතා කරන්න,කටු චිකිත්සාව උත්සාහ කරන්න,සම්බාහනය
ආමාශ ආන්ත්රයික රෝග,ඝන ආහාර ටික වේලාවකට නතර කරන්න,කුඩා වතුර උගුරක් ගැනීමට උත්සාහ කරන්න,විවේකය,නැවත කෑමට පහසු වේ
